Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: wormhole
Architecture: wormhole, Worker cores: 72
Sorting CSV by 'HOST START TS' column...
Using operations after 'L3_mlp'.
Using operations until 'lm_head'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                       Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs       FLOPs %  Math Fidelity            
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 19910    0.0 %         UntilizeWithUnpaddingDeviceOperation               19        10 μs        105 μs      1                                                      FP32 => FP32
 19942    0.0 %         UntilizeWithUnpaddingDeviceOperation               19        10 μs        374 μs      1                                                      FP32 => FP32
 19969    0.1 %         ConcatDeviceOperation                              13         2 μs     15,423 μs     64                                                FP32, FP32 => FP32
 19996    0.1 %         TilizeWithValPaddingDeviceOperation                21         5 μs     38,071 μs      2                                                      FP32 => FP32
 20021    0.0 %         ReshapeViewDeviceOperation                         30        38 μs      3,611 μs     72                                                      FP32 => FP32
 20046    0.3 %         TypecastDeviceOperation                            27         3 μs     74,403 μs     16                                                    UINT32 => FP32
 20096    2.5 %   SLOW  MatmulDeviceOperation 32 x 32 x 32                 14        88 μs    691,933 μs      1    2 GB/s   0.5 %  0.0 TFLOPs    0.9 %  HiFi3 FP32 x FP32 => FP32
 20115    0.0 %         ReshapeViewDeviceOperation                         28         8 μs      5,592 μs      4                                                      FP32 => FP32
 20169    0.1 %         TypecastDeviceOperation                             9         3 μs     39,065 μs      4                                                    FP32 => UINT32
 20185    0.2 %         UntilizeWithUnpaddingDeviceOperation                5         5 μs     65,199 μs      1                                                  UINT32 => UINT32
 20222    0.2 %         TypecastDeviceOperation                            23        13 μs     44,918 μs     72                                                      FP32 => BF16
 20235    0.2 %         UntilizeWithUnpaddingDeviceOperation               24        62 μs     67,712 μs     64                                                      BF16 => BF16
 20282    0.1 %         EmbeddingsDeviceOperation                           4         2 μs     18,002 μs     72                                              UINT32, BF16 => BF16
 20304    0.0 %         TilizeWithValPaddingDeviceOperation                 2         6 μs     10,776 μs      4                                                      BF16 => BF16
 20356    0.0 %         TypecastDeviceOperation                            17         2 μs      2,176 μs      4                                                      BF16 => FP32
 20386    0.0 %         ReshapeViewDeviceOperation                         12        19 μs     13,873 μs      1                                                      FP32 => FP32
 20417    0.0 %         FillPadDeviceOperation                             13         5 μs     12,101 μs      1                                                      FP32 => FP32
 20434    0.0 %         ReduceDeviceOperation                               0         2 μs      2,104 μs      1                                                      FP32 => FP32
 20482    0.4 %         BinaryNgDeviceOperation                            12         3 μs    100,920 μs     72                                                FP32, FP32 => FP32
 20509    0.1 %         ReshapeViewDeviceOperation                         22         5 μs     20,688 μs     16                                                      FP32 => FP32
 20544    0.0 %         ReshapeViewDeviceOperation                         14         4 μs      2,248 μs     16                                                      FP32 => FP32
 20580    0.3 %         BinaryNgDeviceOperation                            17         5 μs     81,122 μs     72                                                FP32, FP32 => FP32
 20612    0.2 %         BinaryNgDeviceOperation                            17         6 μs     62,454 μs     72                                                FP32, FP32 => FP32
 20641    0.2 %         ReshapeViewDeviceOperation                         13         5 μs     50,558 μs     16                                                    INT32 => INT32
 20665    0.2 %         BinaryNgDeviceOperation                             5        19 μs     65,059 μs     72                                              INT32, INT32 => BF16
 20683    0.1 %         TypecastDeviceOperation                            24         4 μs     37,952 μs     72                                                      BF16 => FP32
 20744    0.1 %   SLOW  MatmulDeviceOperation 32 x 32 x 160                10        74 μs     18,083 μs      5   10 GB/s   3.4 %  0.1 TFLOPs    1.0 %  HiFi3 FP32 x FP32 => FP32
 20752    0.0 %         ReshapeViewDeviceOperation                          2        16 μs      4,550 μs      5                                                      FP32 => FP32
 20781    0.0 %         UntilizeWithUnpaddingDeviceOperation               26        10 μs      2,126 μs      1                                                      FP32 => FP32
 20823    0.0 %         UntilizeWithUnpaddingDeviceOperation                7        10 μs      2,632 μs      1                                                      FP32 => FP32
 20870    0.0 %         UntilizeWithUnpaddingDeviceOperation               19        10 μs        105 μs      1                                                      FP32 => FP32
 20893    0.0 %         UntilizeWithUnpaddingDeviceOperation               22        10 μs        205 μs      1                                                      FP32 => FP32
 20908    0.0 %         ConcatDeviceOperation                              25         2 μs      1,735 μs     64                                                FP32, FP32 => FP32
 20964    0.0 %         TilizeWithValPaddingDeviceOperation                17         5 μs      4,204 μs      2                                                      FP32 => FP32
 20986    6.8 %         AllGatherDeviceOperation                            0        39 μs  1,910,341 μs     20                                                      FP32 => FP32
 21014    0.0 %         ReshapeViewDeviceOperation                         31         5 μs      5,277 μs     16                                                    INT32 => INT32
 21050    7.8 %         AllGatherDeviceOperation                            0       583 μs  2,169,071 μs     36                                                      BF16 => BF16
 21082    7.5 %         AllGatherDeviceOperation                            0        75 μs  2,098,620 μs     20                                                    INT32 => INT32
 21107    0.3 %         UntilizeWithUnpaddingDeviceOperation               28       112 μs     75,912 μs     64                                                      BF16 => BF16
 21157    0.2 %         TypecastDeviceOperation                            18         3 μs     53,855 μs     64                                                   INT32 => UINT16
 21166    5.9 %         AllToAllDispatchDeviceOperation                    28       130 μs  1,635,565 μs      4                                              BF16, UINT16 => BF16
 21219    0.3 %         TilizeWithValPaddingDeviceOperation                16        15 μs     73,260 μs     64                                                  UINT16 => UINT16
 21238    0.2 %         TypecastDeviceOperation                            31        11 μs     46,066 μs     72                                                   UINT16 => INT32
 21277    0.2 %         TilizeWithValPaddingDeviceOperation                22     1,781 μs     56,160 μs     64                                                      BF16 => BF16
 21304    0.0 %         ReshapeViewDeviceOperation                          6        29 μs        573 μs      8                                                    INT32 => INT32
 21336    0.0 %         TypecastDeviceOperation                             6         3 μs      2,238 μs     40                                                      FP32 => BF16
 21363    0.1 %         UntilizeDeviceOperation                            28         6 μs     38,920 μs      8                                                      BF16 => BF16
 21404    0.0 %         TypecastDeviceOperation                            21         3 μs      3,931 μs      8                                                   INT32 => UINT16
 21422    0.6 %         MoeExpertTokenRemapDeviceOperation                 28       119 μs    175,135 μs     72                                              BF16, UINT16 => BF16
 21474    0.3 %         TilizeWithValPaddingDeviceOperation                12         4 μs     95,005 μs      1                                                  UINT16 => UINT16
 21487    0.1 %         TypecastDeviceOperation                             3         2 μs     35,735 μs      1                                                    UINT16 => FP32
 21525    0.4 %         ReshapeViewDeviceOperation                         30       531 μs    112,615 μs     72                                                      BF16 => BF16
 21565    0.0 %         ReshapeViewDeviceOperation                         22         3 μs      1,989 μs      8                                                      FP32 => FP32
 21607    0.0 %         TypecastDeviceOperation                            11         3 μs      2,045 μs      8                                                      FP32 => BF16
 21640    0.0 %         UntilizeWithUnpaddingDeviceOperation               10         2 μs     12,439 μs      8                                                      BF16 => BF16
 21663    0.4 %         UnaryDeviceOperation                               15        41 μs    108,595 μs     72                                                BF16, BF16 => BF16
 21675    2.8 %   SLOW  SparseMatmulDeviceOperation 32 x 5120 x 1536       24    19,009 μs    758,617 μs     12    2 GB/s   0.8 %  0.2 TFLOPs    0.5 %   LoFi BF16 x BFP8 => BF16
 21732    0.0 %         UnaryDeviceOperation                               17        63 μs      3,784 μs     72                                                      BF16 => BF16
 21740    0.0 %         UnaryDeviceOperation                               25        41 μs        178 μs     72                                                BF16, BF16 => BF16
 21771    0.1 %   SLOW  SparseMatmulDeviceOperation 32 x 5120 x 1536       24    19,001 μs          1 μs     12    2 GB/s   0.8 %  0.2 TFLOPs    0.5 %   LoFi BF16 x BFP8 => BF16
 21834    0.0 %         BinaryNgDeviceOperation                             8        56 μs        404 μs     72                                                BF16, BF16 => BF16
 21843    0.0 %         UnaryDeviceOperation                               28       133 μs     12,426 μs     72                                                BF16, BF16 => BF16
 21867    2.7 %   SLOW  SparseMatmulDeviceOperation 32 x 1536 x 5120       24    20,174 μs    736,261 μs     12    3 GB/s   1.0 %  1.0 TFLOPs    2.3 %   LoFi BF16 x BFP8 => BF16
 21917    0.1 %         TransposeDeviceOperation                           22       123 μs     22,047 μs     72                                                      BF16 => BF16
 21947    0.4 %         UntilizeDeviceOperation                            20       356 μs    118,183 μs     64                                                      BF16 => BF16
 21967    0.1 %         FullDeviceOperation                                 3        56 μs     25,496 μs     72                                                           => BF16
 21998    1.3 %         AllToAllCombineDeviceOperation                     28       684 μs    368,510 μs      4                                              BF16, UINT16 => BF16
 22033    0.4 %         TilizeDeviceOperation                               1       213 μs    118,944 μs     54                                                      BF16 => BF16
 22074   17.2 %         ReduceScatterDeviceOperation                        0       350 μs  4,797,548 μs     36                                                      BF16 => BF16
 22106    9.0 %         AllGatherDeviceOperation                            0       455 μs  2,503,279 μs     36                                                      BF16 => BF16
 22145    0.5 %         UntilizeDeviceOperation                            13       217 μs    125,991 μs     54                                                      BF16 => BF16
 22167    0.4 %         MeshPartitionDeviceOperation                        6        20 μs    118,706 μs     72                                                      BF16 => BF16
 22210    0.5 %         TilizeWithValPaddingDeviceOperation                12        88 μs    133,691 μs     54                                                      BF16 => BF16
 22242    0.4 %         TypecastDeviceOperation                            12        52 μs    114,601 μs     72                                                      BF16 => FP32
 22261    0.0 %         ReshapeViewDeviceOperation                         30        13 μs      2,803 μs     72                                                      FP32 => FP32
 22303    0.5 %   SLOW  MatmulDeviceOperation 32 x 160 x 32                15        66 μs    126,656 μs      1   11 GB/s   3.8 %  0.1 TFLOPs    5.8 %  HiFi3 FP32 x FP32 => FP32
 22333    0.0 %         ReshapeViewDeviceOperation                         22        25 μs      5,505 μs      1                                                      FP32 => FP32
 22350    0.0 %         TransposeDeviceOperation                           27         2 μs      2,701 μs     72                                                      FP32 => FP32
 22398    0.0 %         ReshapeViewDeviceOperation                         23         5 μs      3,633 μs      8                                                      FP32 => FP32
